name1,name2,size,repetition,dependent_variable,similarity_threshold,trivial-MCC,trivial-HAL,trivial-TERM,trivial-VAR,merged_file,full-MCC,full-HAL,full-TERM,full-VAR
inf,properties,small,4,MCC,0.75,87.0,3158.7455987819208,29.0,22.0,inf+properties.g4,46.0,3162.0,27.0,33.0
lcc,csv,small,4,MCC,1.0,30.0,2081.9125954668416,10.0,18.0,lcc+csv.g4,19.0,2598.6894504713537,9.0,30.0
url,pdn,small,4,HAL,0.001,70.0,5376.171432133683,34.0,39.0,url+pdn.g4,31.0,852.7717297311391,29.0,4.0
lcc,inf,small,4,HAL,0.25,64.0,3207.4983690634813,26.0,23.0,lcc+inf.g4,28.0,792.1438213640827,24.0,4.0
inf,sexpression,small,4,HAL,0.5,79.0,3688.7068119163455,30.0,25.0,inf+sexpression.g4,41.0,1841.1257435503114,27.0,17.0
csv,url,small,4,HAL,0.75,52.0,3704.2684044537923,22.0,27.0,csv+url.g4,41.0,4779.521721946698,22.0,49.0
properties,tsv,small,4,HAL,1.0,54.0,2166.8792873205775,21.0,19.0,properties+tsv.g4,31.0,2460.818758062614,21.0,30.0
python2,cto,medium,0,MCC,0.001,459.0,45749.91464375677,158.0,208.0,python2+cto.g4,151.0,5038.254338525906,110.0,9.0
python2,flatbuffers,medium,0,MCC,0.25,391.0,31764.962373247865,146.0,132.0,python2+flatbuffers.g4,182.0,6382.344109183974,145.0,20.0
fusion-tables,lua,medium,0,MCC,0.5,348.0,47836.92109815291,133.0,201.0,fusion-tables+lua.g4,146.0,10499.19622627744,89.0,76.0
sgf,stacktrace,medium,0,MCC,0.75,132.0,8669.384857837524,100.0,57.0,sgf+stacktrace.g4,104.0,5684.756496071043,95.0,57.0
lua,dart2,medium,0,MCC,1.0,573.0,61391.33857550586,179.0,252.0,lua+dart2.g4,489.0,89583.06938288268,172.0,540.0
romannumerals,fusion-tables,medium,0,HAL,0.001,203.0,35299.442266458886,92.0,176.0,romannumerals+fusion-tables.g4,27.0,661.907015868149,28.0,6.0
fusion-tables,stacktrace,medium,0,HAL,0.25,194.0,35987.57864954373,91.0,179.0,fusion-tables+stacktrace.g4,26.0,882.1071641862598,28.0,11.0
stacktrace,flatbuffers,medium,0,HAL,0.5,106.0,11120.653479134558,71.0,68.0,stacktrace+flatbuffers.g4,101.0,5895.673611014629,67.0,40.0
